               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.076743,            0.053873,            0.055008,            0.081126,             0.52643,             0.17167,            0.064382,             0.04204,             0.04961,            0.043878,           0.0030524,           0.0030524,            0.066352
                  92,            0.065629,            0.051077,            0.051617,             0.17795,             0.35448,             0.14526,            0.043886,             0.04867,             0.05708,             0.04385,           0.0030729,           0.0030729,            0.065973
                  93,            0.083988,            0.053237,            0.058667,             0.35355,             0.31234,              0.2094,            0.095386,            0.042527,            0.049964,            0.043896,           0.0030931,           0.0030931,            0.065593
                  94,            0.067608,            0.055255,            0.058336,             0.16234,             0.55786,             0.17669,             0.06668,            0.043499,            0.058176,            0.043907,           0.0031129,           0.0031129,            0.065213
                  95,             0.05939,            0.058402,             0.05352,             0.09993,             0.62287,             0.19532,            0.084575,            0.042359,             0.05076,            0.043856,           0.0031324,           0.0031324,            0.064832
                  96,            0.054126,            0.056501,            0.049069,             0.25598,             0.47185,             0.23154,             0.10505,            0.043999,            0.051089,            0.043778,           0.0031515,           0.0031515,            0.064451
                  97,            0.058589,            0.050795,             0.04773,             0.20115,              0.6006,             0.19222,            0.096407,            0.047353,            0.055101,            0.043646,           0.0031702,           0.0031702,             0.06407
                  98,            0.057353,             0.04991,            0.048615,             0.31808,             0.54037,             0.22037,             0.10257,            0.045052,            0.052531,            0.043636,           0.0031885,           0.0031885,            0.063688
                  99,            0.060603,            0.052622,            0.051608,             0.29673,             0.51483,             0.22252,             0.12708,            0.039287,            0.050342,            0.043592,           0.0032064,           0.0032064,            0.063306
                 100,            0.059871,            0.052922,            0.055425,             0.33044,             0.53005,             0.24208,             0.12366,            0.040101,            0.050737,            0.043545,            0.003224,            0.003224,            0.062924
                 101,            0.064026,            0.051111,            0.054837,             0.14098,             0.58855,             0.18879,             0.07806,            0.049533,             0.05711,            0.043479,           0.0032412,           0.0032412,            0.062541
                 102,            0.078859,            0.058977,            0.060729,              0.1306,             0.52921,             0.19412,             0.11216,            0.043336,            0.054917,            0.043322,            0.003258,            0.003258,            0.062158
                 103,            0.070571,            0.051382,            0.058538,             0.29685,             0.61651,             0.27021,             0.14887,             0.03805,            0.047638,            0.043278,           0.0032744,           0.0032744,            0.061774
                 104,            0.062821,            0.051911,             0.05251,             0.16512,             0.58089,             0.25892,             0.14029,             0.04047,            0.052044,            0.043216,           0.0032905,           0.0032905,             0.06139
                 105,            0.071289,            0.046479,             0.05671,             0.14062,             0.71489,             0.27995,             0.12563,            0.038416,            0.050703,             0.04315,           0.0033062,           0.0033062,            0.061006
                 106,            0.070948,            0.049864,             0.05538,              0.4732,             0.41531,             0.30683,             0.14848,            0.037301,            0.047812,            0.043111,           0.0033214,           0.0033214,            0.060621
                 107,            0.051863,            0.046481,            0.048565,             0.30321,             0.41859,             0.22653,             0.10271,            0.043013,            0.051825,             0.04302,           0.0033363,           0.0033363,            0.060236
                 108,            0.056312,            0.053425,            0.048091,             0.26485,             0.59653,             0.21617,            0.097551,            0.040522,             0.04762,            0.042908,           0.0033509,           0.0033509,            0.059851
                 109,            0.054311,            0.051809,            0.047486,             0.31917,             0.56108,             0.29575,             0.13916,            0.038074,            0.046662,            0.042795,            0.003365,            0.003365,            0.059465
                 110,            0.061104,            0.046943,             0.05092,              0.3002,             0.60872,             0.28974,             0.12162,            0.039731,            0.048895,             0.04275,           0.0033787,           0.0033787,            0.059079
